Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
little,24,existing credits paid back duly,radio/television,1282,Moderate,Professional,4,female,none,2,car or other,32,none,Own,1,unskilled,1,None,Yes,2
NA,24,critical account,radio/television,2424,NA,Master,4,male,none,4,building society savings agreement/ life insurance,53,none,Own,2,skilled employee,1,None,Yes,1
little,30,no credits taken,business,8072,NA,amateur,2,male,none,3,car or other,25,bank,Own,3,skilled employee,1,None,Yes,1
Moderate,24,existing credits paid back duly,car (used),12579,little,Master,4,female,none,2, unknown / no property,44,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,24,existing credits paid back duly,radio/television,3430,Quite Rich,Master,3,male,none,2,car or other,31,none,Own,1,skilled employee,2,Yes,Yes,1
NA,9,critical account,car (new),2134,little,Professional,4,male,none,4,car or other,48,none,Own,3,skilled employee,1,Yes,Yes,1
little,6,existing credits paid back duly,radio/television,2647,Quite Rich,Professional,2,male,none,3,real estate,44,none,Rent,1,skilled employee,2,None,Yes,1
little,10,critical account,car (new),2241,little,amateur,1,male,none,3,real estate,48,none,Rent,2,unskilled,2,None,No,1
Moderate,12,critical account,car (used),1804,Moderate,amateur,3,male,none,4,building society savings agreement/ life insurance,44,none,Own,1,skilled employee,1,None,Yes,1
NA,10,critical account,furniture/equipment,2069,NA,Professional,2,male,none,1,car or other,26,none,Own,2,skilled employee,1,None,No,1
little,6,existing credits paid back duly,furniture/equipment,1374,little,Professional,1,male,none,2,real estate,36,bank,Own,1,unskilled,1,Yes,Yes,1
NA,6,no credits taken,radio/television,426,little,Master,4,male,none,4,car or other,39,none,Own,1,unskilled,1,None,Yes,1
Rich,12,all credits paid back duly,radio/television,409,Rich,Professional,3,female,none,3,real estate,42,none,Rent,2,skilled employee,1,None,Yes,1
Moderate,7,existing credits paid back duly,radio/television,2415,little,Professional,3,male,guarantor,2,real estate,34,none,Own,1,skilled employee,1,None,Yes,1
little,60,delay in paying off in the past,business,6836,little,Master,3,male,none,4, unknown / no property,63,none,Own,2,skilled employee,1,Yes,Yes,2
Moderate,18,existing credits paid back duly,business,1913,Rich,amateur,3,male,none,3,real estate,36,bank,Own,1,skilled employee,1,Yes,Yes,1
little,24,existing credits paid back duly,furniture/equipment,4020,little,Professional,2,male,none,2,car or other,27,stores,Own,1,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,car (new),5866,Moderate,Professional,2,male,none,2,car or other,30,none,Own,2,skilled employee,1,Yes,Yes,1
NA,12,critical account,business,1264,NA,Master,4,male,none,4, unknown / no property,57,none,Rent,1,unskilled,1,None,Yes,1
Rich,12,existing credits paid back duly,furniture/equipment,1474,little,amateur,4,female,none,1,building society savings agreement/ life insurance,33,bank,Own,1,qualified employee,1,Yes,Yes,1
Moderate,45,critical account,radio/television,4746,little,amateur,4,male,none,2,building society savings agreement/ life insurance,25,none,Own,2,unskilled,1,None,Yes,2
NA,48,critical account,education,6110,little,Professional,1,male,none,3, unknown / no property,31,bank,For Free,1,skilled employee,1,Yes,Yes,1
Rich,18,existing credits paid back duly,radio/television,2100,little,Professional,4,male, co-applicant,2,real estate,37,stores,Own,1,skilled employee,1,None,Yes,2
Rich,10,existing credits paid back duly,domestic appliances,1225,little,Professional,2,male,none,2,car or other,37,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,9,existing credits paid back duly,radio/television,458,little,Professional,4,male,none,3,real estate,24,none,Own,1,skilled employee,1,None,Yes,1
NA,30,existing credits paid back duly,radio/television,2333,Quite Rich,Master,4,male,none,2,car or other,30,bank,Own,1,qualified employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1158,Quite Rich,Professional,3,male,none,1,car or other,26,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,18,delay in paying off in the past,repairs,6204,little,Professional,2,male,none,4,real estate,44,none,Own,1,unskilled,2,Yes,Yes,1
little,30,critical account,car (used),6187,Moderate,Expert,1,male,none,4,car or other,24,none,Rent,2,skilled employee,1,None,Yes,1
little,48,critical account,car (used),6143,little,Master,4,female,none,4, unknown / no property,58,stores,For Free,2,unskilled,1,None,Yes,2
NA,11,critical account,car (new),1393,little,amateur,4,female,none,4,car or other,35,none,Own,2,qualified employee,1,None,Yes,1
NA,36,existing credits paid back duly,radio/television,2299,Quite Rich,Master,4,male,none,4,car or other,39,none,Own,1,skilled employee,1,None,Yes,1
little,6,existing credits paid back duly,car (used),1352,Quite Rich,Unemployed,1,female,none,2,building society savings agreement/ life insurance,23,none,Rent,1,unemployed,1,Yes,Yes,1
NA,11,critical account,car (new),7228,little,Professional,1,male,none,4,building society savings agreement/ life insurance,39,none,Own,2,unskilled,1,None,Yes,1
NA,12,existing credits paid back duly,radio/television,2073,Moderate,Professional,4,female, co-applicant,2,real estate,28,none,Own,1,skilled employee,1,None,Yes,1
Moderate,24,delay in paying off in the past,furniture/equipment,2333,NA,amateur,4,male,none,2,building society savings agreement/ life insurance,29,bank,Own,1,unskilled,1,None,Yes,1
Moderate,27,delay in paying off in the past,car (used),5965,little,Master,1,male,none,2,car or other,30,none,Own,2,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,1262,little,Professional,3,male,none,2,car or other,25,none,Own,1,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,car (used),3378,NA,Professional,2,male,none,1,building society savings agreement/ life insurance,31,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,36,delay in paying off in the past,car (new),2225,little,Master,4,male,none,4, unknown / no property,57,bank,For Free,2,skilled employee,1,Yes,Yes,2
NA,6,all credits paid back duly,car (new),783,NA,Professional,1,male,guarantor,2,real estate,26,stores,Own,1,unskilled,2,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,6468,NA,Unemployed,2,male,none,1, unknown / no property,52,none,Own,1,qualified employee,1,Yes,Yes,2
NA,36,critical account,radio/television,9566,little,Professional,2,female,none,2,car or other,31,stores,Own,2,skilled employee,1,None,Yes,1
Rich,18,existing credits paid back duly,car (new),1961,little,Master,3,female,none,2,car or other,23,none,Own,1,qualified employee,1,None,Yes,1
little,36,critical account,furniture/equipment,6229,little,amateur,4,female, co-applicant,4, unknown / no property,23,none,Rent,2,unskilled,1,Yes,Yes,2
Moderate,9,existing credits paid back duly,business,1391,little,Professional,2,male,none,1,real estate,27,bank,Own,1,skilled employee,1,Yes,Yes,1
Moderate,15,critical account,radio/television,1537,NA,Master,4,male,guarantor,4,real estate,50,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,36,no credits taken,business,1953,little,Master,4,male,none,4, unknown / no property,61,none,For Free,1,qualified employee,1,Yes,Yes,2
Moderate,48,no credits taken,business,14421,little,Professional,2,male,none,2,car or other,25,none,Own,1,skilled employee,1,Yes,Yes,2
NA,24,existing credits paid back duly,radio/television,3181,little,amateur,4,female,none,4,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,1,Yes,Yes,1
NA,27,existing credits paid back duly,repairs,5190,NA,Master,4,male,none,4,building society savings agreement/ life insurance,48,none,Own,4,skilled employee,2,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,2171,little,amateur,2,female,none,2,car or other,29,bank,Own,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,car (new),1007,Rich,Professional,4,male,none,1,real estate,22,none,Own,1,skilled employee,1,None,Yes,1
NA,36,existing credits paid back duly,education,1819,little,Professional,4,male,none,4, unknown / no property,37,stores,For Free,1,skilled employee,1,Yes,Yes,2
NA,36,existing credits paid back duly,radio/television,2394,NA,Professional,4,female,none,4,car or other,25,none,Own,1,skilled employee,1,None,Yes,1
NA,36,existing credits paid back duly,car (used),8133,little,Professional,1,female,none,2,building society savings agreement/ life insurance,30,bank,Own,1,skilled employee,1,None,Yes,1
NA,7,critical account,radio/television,730,NA,Master,4,male,none,2,building society savings agreement/ life insurance,46,none,Rent,2,unskilled,1,Yes,Yes,1
little,8,critical account,Others,1164,little,Master,3,male,none,4, unknown / no property,51,bank,For Free,2,qualified employee,2,Yes,Yes,1
Moderate,42,critical account,business,5954,little,Expert,2,female,none,1,real estate,41,bank,Own,2,unskilled,1,None,Yes,1
little,36,existing credits paid back duly,education,1977,NA,Master,4,male,none,4, unknown / no property,40,none,Own,1,qualified employee,1,Yes,Yes,2
little,12,critical account,car (used),1526,little,Master,4,male,none,4, unknown / no property,66,none,For Free,2,qualified employee,1,None,Yes,1
little,42,existing credits paid back duly,radio/television,3965,little,amateur,4,male,none,3,car or other,34,none,Own,1,skilled employee,1,None,Yes,2
Moderate,11,delay in paying off in the past,radio/television,4771,little,Expert,2,male,none,4,building society savings agreement/ life insurance,51,none,Own,1,skilled employee,1,None,Yes,1
NA,54,no credits taken,car (used),9436,NA,Professional,2,male,none,2,building society savings agreement/ life insurance,39,none,Own,1,unskilled,2,None,Yes,1
Moderate,30,existing credits paid back duly,furniture/equipment,3832,little,amateur,2,male,none,1,building society savings agreement/ life insurance,22,none,Own,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,radio/television,5943,NA,amateur,1,female,none,1,car or other,44,none,Own,2,skilled employee,1,Yes,Yes,2
NA,15,existing credits paid back duly,radio/television,1213,Quite Rich,Master,4,male,none,3,building society savings agreement/ life insurance,47,stores,Own,1,skilled employee,1,Yes,Yes,1
NA,18,existing credits paid back duly,business,1568,Moderate,Professional,3,female,none,4,building society savings agreement/ life insurance,24,none,Rent,1,unskilled,1,None,Yes,1
little,24,existing credits paid back duly,Others,1755,little,Master,4,female,guarantor,4,real estate,58,none,Own,1,unskilled,1,Yes,Yes,1
little,10,existing credits paid back duly,radio/television,2315,little,Master,3,male,none,4,real estate,52,none,Own,1,unskilled,1,None,Yes,1
NA,12,critical account,business,1412,little,Professional,4,female,guarantor,2,real estate,29,none,Own,2,qualified employee,1,Yes,Yes,1
Moderate,18,critical account,furniture/equipment,1295,little,amateur,4,female,none,1,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,None,Yes,1
Moderate,36,existing credits paid back duly,education,12612,Moderate,Professional,1,male,none,4, unknown / no property,47,none,For Free,1,skilled employee,2,Yes,Yes,2
little,18,existing credits paid back duly,car (new),2249,Moderate,Expert,4,male,none,3,car or other,30,none,Own,1,qualified employee,2,Yes,Yes,1
little,12,no credits taken,repairs,1108,little,Expert,4,male,none,3,real estate,28,none,Own,2,skilled employee,1,None,Yes,2
NA,12,critical account,radio/television,618,little,Master,4,male,none,4,real estate,56,none,Own,1,skilled employee,1,None,Yes,1
little,12,critical account,car (used),1409,little,Master,4,male,none,3,real estate,54,none,Own,1,skilled employee,1,None,Yes,1
NA,12,critical account,radio/television,797,NA,Master,4,female,none,3,building society savings agreement/ life insurance,33,bank,Own,1,unskilled,2,None,Yes,2
Rich,24,critical account,furniture/equipment,3617,NA,Master,4,male, co-applicant,4, unknown / no property,20,none,Rent,2,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,car (new),1318,Rich,Master,4,male,none,4,real estate,54,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,54,no credits taken,business,15945,little,amateur,3,male,none,4, unknown / no property,58,none,Rent,1,skilled employee,1,Yes,Yes,2
NA,12,critical account,education,2012,NA,Expert,4,female,none,2,car or other,61,none,Own,1,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,business,2622,Moderate,Professional,4,male,none,4,car or other,34,none,Own,1,skilled employee,1,None,Yes,1
Moderate,36,critical account,radio/television,2337,little,Master,4,male,none,4,real estate,36,none,Own,1,skilled employee,1,None,Yes,1
Moderate,20,delay in paying off in the past,car (used),7057,NA,Expert,3,male,none,4,building society savings agreement/ life insurance,36,bank,Rent,2,qualified employee,2,Yes,Yes,1
NA,24,existing credits paid back duly,car (new),1469,Moderate,Master,4,male,none,4,real estate,41,none,Rent,1,unskilled,1,None,Yes,1
Moderate,36,existing credits paid back duly,radio/television,2323,little,Expert,4,male,none,4,car or other,24,none,Rent,1,skilled employee,1,None,Yes,1
NA,6,delay in paying off in the past,radio/television,932,little,Professional,3,female,none,2,real estate,24,none,Own,1,skilled employee,1,None,Yes,1
Moderate,9,critical account,furniture/equipment,1919,little,Expert,4,male,none,3,car or other,35,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,car (used),2445,NA,amateur,2,male,none,4,car or other,26,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,24,critical account,Others,11938,little,Professional,2,male, co-applicant,3,car or other,39,none,Own,2,qualified employee,2,Yes,Yes,2
NA,18,all credits paid back duly,car (new),6458,little,Master,2,male,none,4, unknown / no property,39,bank,Own,2,qualified employee,2,Yes,Yes,2
Moderate,12,existing credits paid back duly,car (new),6078,little,Expert,2,male,none,2,car or other,32,none,Own,1,skilled employee,1,None,Yes,1
little,24,existing credits paid back duly,furniture/equipment,7721,NA,amateur,1,female,none,2,building society savings agreement/ life insurance,30,none,Own,1,skilled employee,1,Yes,No,1
Moderate,14,existing credits paid back duly,business,1410,Quite Rich,Master,1,male,none,2,real estate,35,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,6,delay in paying off in the past,business,1449,Moderate,Master,1,male,none,2,car or other,31,bank,Own,2,skilled employee,2,None,Yes,1
Rich,15,existing credits paid back duly,education,392,little,amateur,4,female,none,4,building society savings agreement/ life insurance,23,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,18,existing credits paid back duly,car (new),6260,little,Expert,3,male,none,3,real estate,28,none,Rent,1,unskilled,1,None,Yes,1
NA,36,critical account,car (new),7855,little,Professional,4,female,none,2,real estate,25,stores,Own,2,skilled employee,1,Yes,Yes,2
little,12,existing credits paid back duly,radio/television,1680,Quite Rich,Master,3,male,none,1,real estate,35,none,Own,1,skilled employee,1,None,Yes,1
NA,48,critical account,radio/television,3578,NA,Master,4,male,none,1,real estate,47,none,Own,1,skilled employee,1,Yes,Yes,1
little,42,existing credits paid back duly,radio/television,7174,NA,Expert,4,female,none,3,car or other,30,none,Own,1,qualified employee,1,Yes,Yes,2
little,10,critical account,furniture/equipment,2132,NA,amateur,2,female, co-applicant,3,real estate,27,none,Rent,2,skilled employee,1,None,No,1
little,33,critical account,furniture/equipment,4281,Quite Rich,Professional,1,female,none,4,car or other,23,none,Own,2,skilled employee,1,None,Yes,2
Moderate,12,critical account,car (new),2366,Quite Rich,Expert,3,male,none,3,car or other,36,none,Own,1,qualified employee,1,Yes,Yes,1
little,21,existing credits paid back duly,radio/television,1835,little,Professional,3,female,none,2,real estate,25,none,Own,2,skilled employee,1,Yes,Yes,2
NA,24,critical account,car (used),3868,little,Master,4,female,none,2,car or other,41,none,Rent,2,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,furniture/equipment,1768,little,Professional,3,male,none,2,real estate,24,none,Rent,1,unskilled,1,None,Yes,1
Rich,10,critical account,car (new),781,little,Master,4,male,none,4, unknown / no property,63,none,For Free,2,skilled employee,1,Yes,Yes,1
Moderate,18,existing credits paid back duly,furniture/equipment,1924,NA,amateur,4,female,none,3,real estate,27,none,Rent,1,skilled employee,1,None,Yes,2
little,12,critical account,car (new),2121,little,Professional,4,male,none,2,building society savings agreement/ life insurance,30,none,Own,2,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,radio/television,701,little,Professional,4,male,none,2,real estate,40,none,Own,1,unskilled,1,None,Yes,1
Moderate,12,existing credits paid back duly,repairs,639,little,Professional,4,male,none,2,car or other,30,none,Own,1,skilled employee,1,None,Yes,2
Moderate,12,critical account,car (used),1860,little,Unemployed,4,male,none,2,car or other,34,none,Own,2,qualified employee,1,Yes,Yes,1
little,12,critical account,car (new),3499,little,Professional,3,female, co-applicant,2,real estate,29,none,Own,2,skilled employee,1,None,Yes,2
Moderate,48,existing credits paid back duly,car (new),8487,NA,Expert,1,female,none,2,car or other,24,none,Own,1,skilled employee,1,None,Yes,1
little,36,delay in paying off in the past,education,6887,little,Professional,4,male,none,3,building society savings agreement/ life insurance,29,stores,Own,1,skilled employee,1,Yes,Yes,2
NA,15,existing credits paid back duly,furniture/equipment,2708,little,amateur,2,male,none,3,building society savings agreement/ life insurance,27,bank,Own,2,unskilled,1,None,Yes,1
NA,18,existing credits paid back duly,furniture/equipment,1984,little,Professional,4,male,none,4, unknown / no property,47,bank,For Free,2,skilled employee,1,None,Yes,1
NA,60,existing credits paid back duly,radio/television,10144,Moderate,Expert,2,female,none,4,real estate,21,none,Own,1,skilled employee,1,Yes,Yes,1
NA,12,critical account,radio/television,1240,NA,Master,4,female,none,2,real estate,38,none,Own,2,skilled employee,1,Yes,Yes,1
NA,27,delay in paying off in the past,car (used),8613,Rich,Professional,2,male,none,2,car or other,27,none,Own,2,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,766,Quite Rich,Professional,4,male,none,3,real estate,66,none,Own,1,unskilled,1,None,Yes,2
Moderate,15,critical account,radio/television,2728,NA,Expert,4,male,guarantor,2,real estate,35,bank,Own,3,skilled employee,1,Yes,Yes,1
Rich,12,existing credits paid back duly,radio/television,1881,little,Professional,2,female,none,2,car or other,44,none,Rent,1,unskilled,1,Yes,Yes,1
Rich,6,existing credits paid back duly,car (new),709,Rich,amateur,2,male,none,2,real estate,27,none,Own,1,unemployed,1,None,No,1
Moderate,36,existing credits paid back duly,radio/television,4795,little,amateur,4,female,none,1, unknown / no property,30,none,Own,1,qualified employee,1,Yes,Yes,1
little,27,existing credits paid back duly,radio/television,3416,little,Professional,3,male,none,2,car or other,27,none,Own,1,qualified employee,1,None,Yes,1
little,18,existing credits paid back duly,furniture/equipment,2462,little,Professional,2,male,none,2,car or other,22,none,Own,1,skilled employee,1,None,Yes,2
NA,21,critical account,furniture/equipment,2288,little,amateur,4,female,none,4,building society savings agreement/ life insurance,23,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,48,all credits paid back duly,business,3566,Moderate,Expert,4,male,none,2,car or other,30,none,Own,1,skilled employee,1,None,Yes,1
little,6,critical account,car (new),860,little,Master,1,female,none,4, unknown / no property,39,none,Own,2,skilled employee,1,Yes,Yes,1
NA,12,critical account,car (new),682,Moderate,Expert,4,female,none,3,car or other,51,none,Own,2,skilled employee,1,Yes,Yes,1
little,36,critical account,furniture/equipment,5371,little,Professional,3,male,guarantor,2,building society savings agreement/ life insurance,28,none,Own,2,skilled employee,1,None,Yes,1
NA,18,critical account,radio/television,1582,Rich,Master,4,male,none,4,car or other,46,none,Own,2,skilled employee,1,None,Yes,1
NA,6,existing credits paid back duly,radio/television,1346,Moderate,Master,2,male,none,4, unknown / no property,42,bank,For Free,1,skilled employee,2,Yes,Yes,1
NA,10,existing credits paid back duly,radio/television,1924,little,Professional,1,male,none,4,building society savings agreement/ life insurance,38,none,Own,1,skilled employee,1,Yes,No,1
Rich,36,existing credits paid back duly,radio/television,5848,little,Professional,4,male,none,1,car or other,24,none,Own,1,skilled employee,1,None,Yes,1
Moderate,24,critical account,car (used),7758,Rich,Master,2,female,none,4, unknown / no property,29,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,24,delay in paying off in the past,business,6967,Moderate,Expert,4,male,none,4,car or other,36,none,Rent,1,qualified employee,1,Yes,Yes,1
little,12,existing credits paid back duly,furniture/equipment,1282,little,Professional,2,female,none,4,car or other,20,none,Rent,1,skilled employee,1,None,Yes,2
little,9,critical account,repairs,1288,Moderate,Master,3,male,guarantor,4,real estate,48,none,Own,2,skilled employee,2,None,No,1
little,12,all credits paid back duly,retraining,339,little,Master,4,male,none,1,car or other,45,bank,Own,1,unskilled,1,None,Yes,1
Moderate,24,existing credits paid back duly,car (new),3512,Moderate,Expert,2,male,none,3,car or other,38,bank,Own,2,skilled employee,1,Yes,Yes,1
NA,6,critical account,radio/television,1898,NA,Professional,1,male,none,2,real estate,34,none,Own,2,unskilled,2,None,Yes,1
NA,24,critical account,radio/television,2872,Moderate,Master,3,male,none,4,real estate,36,none,Own,1,skilled employee,2,Yes,Yes,1
NA,18,critical account,car (new),1055,little,amateur,4,female,none,1,building society savings agreement/ life insurance,30,none,Own,2,skilled employee,1,None,Yes,1
NA,15,existing credits paid back duly,domestic appliances,1262,Quite Rich,Expert,4,male,none,3,building society savings agreement/ life insurance,36,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,10,existing credits paid back duly,car (new),7308,little,Unemployed,2,male,none,4, unknown / no property,70,bank,For Free,1,qualified employee,1,Yes,Yes,1
NA,36,existing credits paid back duly,car (new),909,Quite Rich,Master,4,male,none,4,building society savings agreement/ life insurance,36,none,Own,1,skilled employee,1,None,Yes,1
NA,6,existing credits paid back duly,furniture/equipment,2978,Quite Rich,Professional,1,male,none,2,car or other,32,none,Own,1,skilled employee,1,Yes,Yes,1
little,18,existing credits paid back duly,furniture/equipment,1131,little,Unemployed,4,female,none,2,car or other,33,none,Own,1,skilled employee,1,None,Yes,2
Moderate,11,existing credits paid back duly,furniture/equipment,1577,Rich,amateur,4,female,none,1,real estate,20,none,Own,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,furniture/equipment,3972,little,Expert,2,female,none,4,building society savings agreement/ life insurance,25,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,24,critical account,business,1935,little,Master,4,male,none,4,real estate,31,none,Own,2,skilled employee,1,Yes,Yes,2
little,15,no credits taken,car (new),950,little,Master,4,male,none,3,car or other,33,none,Rent,2,skilled employee,2,None,Yes,2
NA,12,existing credits paid back duly,furniture/equipment,763,little,Professional,4,female,none,1,real estate,26,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,24,delay in paying off in the past,furniture/equipment,2064,little,Unemployed,3,female,none,2,building society savings agreement/ life insurance,34,none,Own,1,qualified employee,1,Yes,Yes,2
Moderate,8,existing credits paid back duly,radio/television,1414,little,Professional,4,male,guarantor,2,real estate,33,none,Own,1,skilled employee,1,None,No,1
little,21,delay in paying off in the past,education,3414,little,amateur,2,male,none,1,building society savings agreement/ life insurance,26,none,Own,2,skilled employee,1,None,Yes,2
NA,30,all credits paid back duly,car (used),7485,NA,Unemployed,4,female,none,1,real estate,53,bank,Own,1,qualified employee,1,Yes,Yes,2
little,12,existing credits paid back duly,furniture/equipment,2577,little,Professional,2,male,none,1,car or other,42,none,Own,1,skilled employee,1,None,Yes,1
little,6,critical account,radio/television,338,Quite Rich,Master,4,male,none,4,car or other,52,none,Own,2,skilled employee,1,None,Yes,1
NA,12,existing credits paid back duly,radio/television,1963,little,Expert,4,male,none,2,car or other,31,none,Rent,2,qualified employee,2,Yes,Yes,1
little,21,critical account,car (new),571,little,Master,4,male,none,4,real estate,65,none,Own,2,skilled employee,1,None,Yes,1
NA,36,delay in paying off in the past,business,9572,little,amateur,1,male,none,1,car or other,28,none,Own,2,skilled employee,1,None,Yes,2
Moderate,36,delay in paying off in the past,business,4455,little,Professional,2,male,none,2,real estate,30,stores,Own,2,qualified employee,1,Yes,Yes,2
little,21,all credits paid back duly,car (new),1647,NA,Professional,4,male,none,2,building society savings agreement/ life insurance,40,none,Own,2,unskilled,2,None,Yes,2
NA,24,critical account,furniture/equipment,3777,Rich,Professional,4,male,none,4,real estate,50,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,18,critical account,car (new),884,little,Master,4,male,none,4,car or other,36,bank,Own,1,skilled employee,2,Yes,Yes,2
NA,15,critical account,radio/television,1360,little,Professional,4,male,none,2,building society savings agreement/ life insurance,31,none,Own,2,skilled employee,1,None,Yes,1
Moderate,9,all credits paid back duly,car (used),5129,little,Master,2,female,none,4, unknown / no property,74,bank,For Free,1,qualified employee,2,Yes,Yes,2
Moderate,16,critical account,car (new),1175,little,Unemployed,2,male,none,3,car or other,68,none,For Free,3,unemployed,1,Yes,Yes,1
little,12,existing credits paid back duly,radio/television,674,Moderate,Expert,4,male,none,1,building society savings agreement/ life insurance,20,none,Own,1,skilled employee,1,None,Yes,2
Moderate,18,no credits taken,furniture/equipment,3244,little,Professional,1,female,none,4,car or other,33,bank,Own,2,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,business,4591,Rich,Professional,2,male,none,3,building society savings agreement/ life insurance,54,none,Own,3,qualified employee,1,Yes,Yes,2
Moderate,48,no credits taken,business,3844,Moderate,Expert,4,male,none,4, unknown / no property,34,none,For Free,1,unskilled,2,None,Yes,2
Moderate,27,existing credits paid back duly,business,3915,little,Professional,4,male,none,2,car or other,36,none,Own,1,skilled employee,2,Yes,Yes,2
NA,6,existing credits paid back duly,radio/television,2108,little,Expert,2,male,none,2,real estate,29,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,45,existing credits paid back duly,radio/television,3031,Moderate,Professional,4,male,guarantor,4,building society savings agreement/ life insurance,21,none,Rent,1,skilled employee,1,None,Yes,2
Moderate,9,critical account,education,1501,little,Master,2,female,none,3,car or other,34,none,Own,2,qualified employee,1,Yes,Yes,2
NA,6,critical account,radio/television,1382,little,Professional,1,female,none,1,car or other,28,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,furniture/equipment,951,Moderate,amateur,4,female,none,4,car or other,27,bank,Rent,4,skilled employee,1,None,Yes,2
Moderate,24,existing credits paid back duly,car (used),2760,NA,Master,4,male,none,4, unknown / no property,36,bank,For Free,1,skilled employee,1,Yes,Yes,1
Moderate,18,delay in paying off in the past,furniture/equipment,4297,little,Master,4,male,none,3, unknown / no property,40,none,Own,1,qualified employee,1,Yes,Yes,2
